0,0
0,0
2,0
3,0
6,0
7,0
7,0
7,0
7,0
7,0
8,0
8,0
9,0
9,0
10,0
13,0
13,0
14,1
14,2
14,2
16,2
18,2
18,3
18,5
19,6
22,6
25,7
27,8
29,8
35,12
42,12
48,14
52,15
60,16
67,17
72,20
79,23
83,28
84,30
92,32
99,33
103,37
108,40
122,43
126,46
130,48
135,49
142,51
147,52
155,53
159,55
166,55
176,56
180,57
184,58
190,59
199,59
205,59
215,60
218,60
221,62
222,63
231,64
240,66
247,68
256,69
265,70
271,71
277,72
283,75
287,75
292,75
296,76
299,77
304,77
308,79
310,81
312,82
312,83
315,84
319,86
320,86
322,86
324,86
324,86
324,87
326,87
330,87
332,91
333,93
335,94
335,96
335,97
335,102
335,105
335,105
337,106
337,107
337,108
337,109
338,110
339,110
339,110
340,110
340,111
340,112
340,114
340,114
340,114
340,115
340,115
340,115
340,115
341,115
341,116
341,116
341,116
341,116
341,117
342,119
343,119
